Question,Answer
What is agriculture?,Agriculture means growing plants and raising animals for things we eat and use.
Why do we need farms?,"Farms give us food like fruits, vegetables, eggs, milk, and meat."
What do cows eat?,"Cows usually eat grass, hay, or special food made just for them."
How do carrots grow?,Carrots grow underground. You only see the green leaves above the soil.
What do farmers do every day?,"Farmers feed animals, plant seeds, water crops, and check everything."
Can plants grow without soil?,Yes! Some plants grow in water using a method called hydroponics.
How long does it take to grow corn?,Corn takes about 2 to 3 months to grow from seed to harvest.
Why are bees important on farms?,"Bees help pollinate flowers, which helps fruits and vegetables grow."
What is a tractor used for?,"A tractor helps farmers plow land, plant seeds, and carry heavy things."
What do chickens give us?,Chickens give us eggs and meat.
Where does milk come from?,"Milk comes from cows, goats, and sometimes sheep."
How do plants drink water?,"Plants drink water through their roots, which pull it from the soil."
Do all farms look the same?,"No! Some farms grow crops, others raise animals, and some do both."
What is compost?,Compost is rotting food and plants that make the soil healthier.
What do pigs eat?,"Pigs eat grains, fruits, vegetables, and farm leftovers."
How do seeds grow into plants?,"With water, sunlight, and soil, seeds grow roots and leaves."
What are crops?,Crops are plants that farmers grow for food or other products.
What is a greenhouse?,A greenhouse is a glass building where plants grow in warm conditions.
Why do farmers use scarecrows?,Scarecrows help keep birds away from crops.
What does a farmer wear?,"Farmers often wear hats, boots, and overalls to protect themselves."
Do all fruits grow on trees?,"No! Some grow on bushes, vines, or even underground."
What are farm animals?,"Farm animals include cows, chickens, pigs, goats, and sheep."
How do farmers water crops?,"They use hoses, sprinklers, or big machines called irrigation systems."
Where do vegetables come from?,"Vegetables grow in the ground, on vines, or on bushes."
What is harvesting?,Harvesting means picking crops when they are ready to eat or sell.
Why is soil important?,Soil holds water and nutrients that plants need to grow.
What is an orchard?,"An orchard is a farm where fruit trees grow, like apples and oranges."
What is pollination?,Pollination is when pollen moves between flowers to help fruit grow.
Can kids grow their own food?,"Yes! You can grow simple plants like tomatoes, carrots, or beans."
What is a farm tool?,"Farm tools help farmers plant, water, and take care of crops."
Why do farmers rotate crops?,Rotating crops helps keep the soil healthy and full of nutrients.
How do sheep help us?,Sheep give us wool to make clothes.
What is irrigation?,Irrigation is a way to bring water to plants when it doesn't rain enough.
Do plants need sunlight?,Yes! Sunlight helps plants make food using photosynthesis.
What is fertilizer?,Fertilizer gives plants extra nutrients to help them grow better.
Can farms be in cities?,Yes! Urban farms grow food in small spaces like rooftops or backyards.
What do goats give us?,"Goats give us milk, cheese, and sometimes meat."
What are grains?,"Grains like wheat, rice, and corn are used to make bread and cereal."
What happens on a farm in winter?,"In winter, farmers care for animals and plan for spring planting."
Why are earthworms good for soil?,Earthworms mix the soil and help plants grow better.
What is a barn?,A barn is a big building where animals or tools are kept.
What is hay?,Hay is dried grass that animals eat.
Can flowers grow on farms?,Yes! Some farms grow flowers to sell at markets.
How do farmers know when to plant?,They watch the weather and seasons to choose the right time.
What is a silo?,A silo is a tall building where grain is stored.
Why do farmers wear gloves?,Gloves protect their hands while working with soil or animals.
What is a pasture?,A pasture is a grassy area where animals eat and walk around.
How does food get from farms to stores?,Trucks carry the food from farms to markets and stores.
What is organic farming?,Organic farming avoids chemicals and uses natural ways to grow food.
